Crop_Type,Soil_Organic_Carbon,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint,Sustainability_Level,Carbon_Credits
Corn,2.82,41.3,33.9,49.0,6.66,Urea,185.1,28.4,1020.4,49.8,1419.5,Low,0.0
Rice,2.55,75.5,32.3,117.5,6.13,Urea,263.1,31.2,534.5,51.1,2510.5,Low,0.0
Wheat,1.61,65.0,20.9,61.6,6.54,Urea,139.5,28.4,581.1,53.4,773.5,Medium,0.226
Corn,2.38,159.4,6.6,90.9,6.39,NPK_15-15-15,411.0,28.6,369.5,62.2,819.7,Medium,0.18
Rice,0.71,91.9,32.6,33.6,5.72,NPK_15-15-15,402.3,20.6,673.6,77.9,1789.6,Low,0.0
Corn,2.68,64.8,39.9,54.4,6.37,Urea,440.3,29.1,1309.1,77.7,4780.6,Low,0.0
Corn,2.44,48.6,51.5,66.9,5.54,Ammonium Nitrate,321.2,24.3,553.9,45.2,1403.7,Low,0.0
Rice,2.71,28.0,5.0,46.8,7.37,NPK_15-15-15,214.1,26.2,593.9,56.7,1375.9,Low,0.0
Corn,3.05,49.4,18.1,56.6,5.45,NPK_15-15-15,308.8,25.4,917.9,56.4,830.9,Medium,0.169
Wheat,2.49,77.9,26.3,60.6,6.26,Urea,123.9,22.9,720.2,34.6,582.7,Medium,0.417
Wheat,2.32,110.7,34.9,60.3,5.67,Urea,278.1,19.0,1629.9,71.8,2107.8,Low,0.0
Soybeans,1.5,103.0,32.8,102.1,6.8,None,0.0,23.1,793.1,62.0,-241.6,High,1.242
Corn,1.63,80.7,33.2,72.6,6.17,Urea,267.6,28.6,967.3,63.6,2099.8,Low,0.0
Corn,3.15,66.9,41.1,74.6,6.04,Urea,427.1,21.2,1180.3,81.2,3134.3,Low,0.0
Corn,3.35,81.7,21.5,75.8,7.0,Urea,457.2,28.1,1173.6,66.1,3835.1,Low,0.0
Wheat,2.01,62.0,49.0,77.3,6.42,NPK_15-15-15,279.4,27.3,931.7,59.8,658.4,Medium,0.342
Soybeans,2.24,118.0,41.5,63.3,6.76,Organic,82.9,21.9,793.6,71.9,-114.2,High,1.114
Corn,1.48,70.3,30.2,58.6,5.71,Ammonium Nitrate,429.4,30.7,1558.4,77.7,4486.5,Low,0.0
Vegetables,3.14,72.8,59.0,68.3,5.42,Organic,247.4,21.7,815.1,68.6,241.3,High,0.759
Corn,2.73,19.6,58.3,88.1,6.48,Ammonium Nitrate,456.6,31.3,695.4,73.3,2879.5,Low,0.0
Wheat,3.75,70.1,49.0,87.5,6.18,Organic,232.8,25.8,624.0,63.3,191.3,High,0.809
Soybeans,1.5,95.9,5.0,60.2,6.84,Urea,12.5,23.4,245.6,64.0,-183.2,High,1.183
Vegetables,1.9,48.3,58.7,80.4,6.34,Organic,121.2,18.9,1137.6,66.4,258.5,High,0.742
Soybeans,2.39,56.2,46.9,61.1,6.54,NPK_15-15-15,27.7,23.0,200.0,56.0,-51.1,High,1.051
Soybeans,2.72,94.8,65.1,65.7,5.26,Organic,69.2,22.4,848.0,58.2,2.6,High,0.997
Rice,2.03,38.1,53.6,55.5,7.72,Urea,212.3,17.0,778.3,81.5,2214.1,Low,0.0
Soybeans,1.5,101.4,58.7,61.4,6.29,None,0.0,22.4,1634.0,89.1,-139.1,High,1.139
Corn,2.91,61.7,48.2,91.8,6.89,Organic,195.8,19.3,208.9,84.1,171.0,High,0.829
Vegetables,2.78,65.3,55.2,66.8,5.81,Ammonium Nitrate,260.5,26.5,534.6,49.1,1156.8,Medium,0.0
Wheat,1.47,46.9,64.9,67.7,6.62,NPK_15-15-15,258.2,30.3,802.4,48.0,535.1,Medium,0.465
Soybeans,3.28,84.5,38.2,36.1,5.49,None,0.0,17.1,780.9,50.7,103.1,High,0.897
Wheat,3.14,136.5,11.4,58.8,6.72,NPK_15-15-15,143.5,32.4,657.7,66.6,460.3,Medium,0.54
Wheat,2.31,94.5,30.4,60.2,6.15,Urea,223.1,22.8,821.7,31.3,979.1,Medium,0.021
Wheat,2.26,53.4,40.8,48.4,6.42,NPK_15-15-15,216.4,18.4,409.2,57.9,314.0,High,0.686
Soybeans,2.64,103.4,36.1,65.4,6.89,None,0.0,27.4,975.0,81.9,-154.4,High,1.154
Corn,1.51,67.1,16.3,56.4,5.54,NPK_15-15-15,390.2,21.2,200.0,76.8,749.2,Medium,0.251
Corn,2.22,109.4,10.5,66.6,5.92,Urea,212.3,23.1,841.0,58.9,1254.6,Low,0.0
Corn,0.5,95.2,23.9,67.4,6.72,NPK_15-15-15,239.5,21.4,639.9,59.8,280.4,High,0.72
Corn,2.9,10.0,47.1,45.9,7.87,Urea,453.2,19.3,1205.7,71.8,2891.7,Low,0.0
Vegetables,0.95,49.9,58.7,57.0,6.3,Organic,154.6,27.3,1464.4,76.2,83.0,High,0.917
Corn,3.4,98.6,48.7,66.5,6.81,NPK_15-15-15,194.4,22.0,734.1,58.6,546.3,Medium,0.454
Vegetables,1.94,78.8,50.9,88.7,6.33,NPK_15-15-15,255.9,16.0,1336.8,62.2,576.2,Medium,0.424
Rice,2.03,49.4,33.8,70.1,7.76,NPK_15-15-15,153.1,26.4,739.4,58.2,1335.8,Low,0.0
Corn,1.7,59.2,8.9,51.8,5.18,Urea,244.3,17.2,511.9,49.0,1060.2,Medium,0.0
Soybeans,1.97,27.3,28.2,73.0,6.47,None,0.0,17.5,1461.1,62.4,-79.6,High,1.08
Wheat,3.33,72.8,31.1,99.2,5.26,NPK_15-15-15,181.1,29.7,1032.3,61.4,674.4,Medium,0.326
Wheat,0.5,130.3,27.5,83.3,4.65,Urea,219.7,17.3,851.6,49.9,988.8,Medium,0.011
Wheat,3.22,95.1,35.8,76.0,6.61,Ammonium Nitrate,263.3,11.5,1090.5,72.8,1082.3,Medium,0.0
Soybeans,2.47,129.8,41.6,79.5,6.5,NPK_15-15-15,117.8,26.7,946.0,70.8,206.6,High,0.793
Corn,1.23,97.1,47.8,93.8,6.2,Urea,268.8,21.9,825.8,73.3,1419.6,Low,0.0
Vegetables,1.34,100.7,30.8,86.5,6.33,NPK_15-15-15,229.9,22.4,385.7,55.8,300.2,High,0.7
Vegetables,3.54,124.4,6.4,76.3,8.5,Organic,283.8,21.9,755.3,41.2,371.0,High,0.629
Wheat,1.44,84.4,27.8,86.4,6.22,Ammonium Nitrate,132.6,24.7,1068.1,70.6,865.9,Medium,0.134
Corn,1.28,70.3,35.7,43.4,6.76,Urea,330.7,19.6,807.0,57.0,1558.6,Low,0.0
Wheat,3.11,100.8,53.3,35.0,5.95,NPK_15-15-15,250.2,31.2,1165.8,54.3,831.5,Medium,0.168
Corn,2.47,111.3,26.5,68.1,6.61,Urea,210.0,15.8,984.3,49.9,979.2,Medium,0.021
Corn,1.45,63.0,42.7,66.4,6.23,Urea,455.5,25.8,542.7,61.7,2185.9,Low,0.0
Rice,2.37,57.0,39.4,54.1,6.11,Ammonium Nitrate,246.0,26.8,388.3,83.9,2177.4,Low,0.0
Wheat,1.38,78.5,35.7,81.5,7.67,Urea,126.4,19.5,795.0,58.9,597.5,Medium,0.402
Vegetables,3.08,95.8,49.0,27.7,7.22,NPK_15-15-15,297.8,18.2,666.5,51.9,547.9,Medium,0.452
Soybeans,3.05,95.0,25.1,54.3,6.5,None,0.0,28.8,967.7,72.8,47.9,High,0.952
Soybeans,2.63,39.4,26.4,55.3,4.79,Organic,20.1,18.3,598.7,67.1,101.3,High,0.899
Rice,2.49,122.8,34.8,32.3,6.15,NPK_15-15-15,377.0,20.3,634.6,39.6,1611.0,Low,0.0
Rice,3.61,59.0,25.4,94.9,8.29,Urea,405.0,28.1,1218.6,72.9,4752.7,Low,0.0
Rice,2.2,68.4,42.6,37.8,6.24,NPK_15-15-15,291.8,23.7,901.9,90.0,1763.0,Low,0.0
Vegetables,1.25,52.4,24.3,53.2,7.17,NPK_15-15-15,278.4,14.2,604.0,33.8,305.8,High,0.694
Corn,2.56,142.5,38.4,83.2,7.41,Ammonium Nitrate,185.0,32.6,856.2,50.2,1230.9,Low,0.0
Vegetables,3.87,81.1,33.5,77.9,6.55,Ammonium Nitrate,140.6,20.7,1332.6,30.8,755.4,Medium,0.245
Wheat,1.39,53.7,38.2,42.8,5.81,NPK_15-15-15,188.0,21.4,952.8,64.1,393.9,High,0.606
Rice,1.91,96.6,28.1,78.6,4.7,Ammonium Nitrate,381.8,24.8,1057.5,76.9,3406.1,Low,0.0
Soybeans,2.53,94.2,29.9,70.8,6.88,Organic,89.9,26.8,586.7,66.3,-77.0,High,1.077
Wheat,2.16,70.3,36.4,111.7,5.83,Ammonium Nitrate,175.4,33.7,1209.2,81.7,1803.9,Low,0.0
Vegetables,1.41,96.0,38.0,73.1,6.52,NPK_15-15-15,341.2,14.9,1661.3,75.0,777.0,Medium,0.223
Vegetables,3.1,54.4,34.9,62.2,5.53,Organic,105.0,27.8,573.0,85.4,242.5,High,0.758
Rice,4.06,62.7,60.6,47.9,6.21,None,0.0,27.4,436.3,78.9,1227.9,Low,0.0
Rice,2.36,24.7,20.1,50.1,6.42,NPK_15-15-15,194.8,22.8,911.4,60.2,1472.6,Low,0.0
Wheat,1.48,41.9,34.0,48.5,6.59,Urea,161.6,27.6,1156.4,65.8,1250.9,Low,0.0
Vegetables,0.96,120.2,11.4,92.4,5.62,NPK_15-15-15,254.1,28.4,818.0,54.6,561.4,Medium,0.439
Corn,2.41,116.0,40.6,65.4,7.24,Urea,313.7,16.3,481.4,62.2,1309.5,Low,0.0
Wheat,3.08,76.6,18.3,76.3,5.98,Urea,110.1,32.6,812.0,65.7,1041.2,Medium,0.0
Wheat,2.58,116.6,30.8,95.3,5.23,Ammonium Nitrate,169.4,15.4,1059.3,64.0,848.2,Medium,0.152
Soybeans,2.2,71.0,29.4,17.8,6.32,Organic,113.6,17.6,707.5,81.1,-28.3,High,1.028
Corn,1.73,68.9,39.2,90.6,6.42,Urea,180.6,22.1,1062.5,61.0,1195.2,Medium,0.0
Soybeans,1.33,76.4,26.7,66.1,6.51,Ammonium Nitrate,55.5,33.5,1257.6,53.8,148.3,High,0.852
Vegetables,2.87,71.9,26.1,73.7,7.35,Organic,245.2,21.9,934.1,54.6,187.6,High,0.812
Corn,2.93,69.6,56.5,48.4,6.23,Urea,286.2,23.3,840.2,72.9,1888.7,Low,0.0
Corn,0.96,103.6,39.3,49.9,6.32,Urea,292.9,30.9,1140.3,48.2,2119.0,Low,0.0
Vegetables,3.47,78.8,26.6,74.8,5.63,NPK_15-15-15,141.9,21.9,550.4,62.6,430.9,Medium,0.569
Corn,2.66,92.8,31.2,112.7,6.97,NPK_15-15-15,352.6,17.4,515.9,80.9,675.9,Medium,0.324
Vegetables,3.32,100.8,59.7,85.1,6.53,NPK_15-15-15,225.3,21.3,756.7,68.5,547.7,Medium,0.452
Wheat,1.13,84.7,31.5,90.3,6.11,None,0.0,30.6,677.8,64.1,7.1,High,0.993
Corn,1.11,50.7,24.7,61.2,5.07,Urea,239.9,23.9,568.8,64.6,1279.9,Low,0.0
Vegetables,2.08,41.2,24.7,53.0,7.41,NPK_15-15-15,259.6,33.5,1490.7,52.6,963.8,Medium,0.036
Rice,2.6,78.7,26.8,49.4,5.54,Urea,429.4,27.3,1610.2,54.7,4833.8,Low,0.0
Wheat,3.64,70.7,26.1,55.2,5.99,Ammonium Nitrate,275.5,20.1,726.2,62.7,1220.5,Low,0.0
Rice,2.76,77.2,15.8,23.9,6.65,Urea,398.7,23.8,882.1,68.3,3434.1,Low,0.0
Wheat,2.01,74.6,18.1,50.5,5.56,Ammonium Nitrate,150.6,19.1,784.3,76.4,779.2,Medium,0.221
Corn,1.38,139.6,22.6,53.8,5.35,Organic,207.7,20.0,1237.6,66.1,319.0,High,0.681
Rice,3.18,41.7,43.9,61.5,4.91,Organic,287.6,38.0,1307.0,81.2,1366.9,Low,0.0
Vegetables,1.43,25.3,29.3,67.6,6.9,None,0.0,28.8,228.0,84.3,97.9,High,0.902
Rice,3.5,83.3,31.9,72.2,6.02,Ammonium Nitrate,377.2,28.0,1016.6,74.5,3585.5,Low,0.0
Wheat,1.97,65.6,54.1,64.7,8.45,Urea,199.3,20.3,392.6,79.7,895.7,Medium,0.104
Rice,3.47,82.9,54.4,53.4,5.7,NPK_15-15-15,384.8,31.7,1465.4,53.1,2307.9,Low,0.0
Soybeans,2.74,89.6,30.8,25.7,5.75,NPK_15-15-15,50.3,29.2,1004.1,51.2,53.8,High,0.946
Corn,2.09,107.1,25.5,53.5,6.0,Urea,211.1,33.3,561.8,71.2,1567.1,Low,0.0
Vegetables,1.78,37.3,22.0,45.6,6.57,NPK_15-15-15,301.8,33.0,765.5,48.9,641.2,Medium,0.359
Wheat,1.93,61.1,45.4,74.3,6.07,Urea,186.5,15.8,748.9,61.5,895.1,Medium,0.105
Corn,2.54,85.7,31.9,83.2,6.83,None,0.0,17.7,1033.8,74.3,251.1,High,0.749
Corn,2.26,94.3,29.2,83.8,5.71,Urea,357.5,18.3,1214.7,82.0,2402.9,Low,0.0
Corn,1.72,129.8,22.8,80.1,5.43,Ammonium Nitrate,408.3,18.6,448.1,61.9,1629.7,Low,0.0
Wheat,2.07,98.9,23.5,62.3,5.14,NPK_15-15-15,245.3,25.2,1493.6,57.2,728.5,Medium,0.272
Rice,2.26,73.6,39.8,54.6,4.84,Urea,310.2,20.6,1412.0,68.8,3185.4,Low,0.0
Soybeans,0.5,52.7,15.3,50.1,6.04,None,0.0,34.3,543.6,52.1,-560.7,High,1.561
Rice,2.57,60.9,49.9,34.9,6.19,Urea,153.6,33.4,875.5,62.9,2458.8,Low,0.0
Corn,1.42,60.2,27.0,84.8,5.96,NPK_15-15-15,393.7,23.5,1448.8,64.9,1068.7,Medium,0.0
Wheat,1.28,91.4,32.8,61.5,7.27,Ammonium Nitrate,288.1,33.7,1281.5,64.7,2494.6,Low,0.0
Soybeans,0.85,81.4,14.9,40.1,7.26,None,0.0,31.2,732.1,66.1,-430.7,High,1.431
Corn,0.76,41.9,34.8,48.5,6.17,None,0.0,21.2,1135.0,55.0,70.6,High,0.929
Corn,1.12,64.1,30.1,47.7,5.14,Organic,324.4,13.1,1899.0,56.3,279.5,High,0.72
Corn,1.63,96.9,34.2,65.9,6.0,NPK_15-15-15,380.8,22.4,886.8,56.0,811.5,Medium,0.188
Soybeans,3.76,83.8,57.1,86.3,5.98,None,0.0,20.1,628.6,45.6,13.1,High,0.987
Wheat,1.78,89.2,37.7,58.0,5.94,NPK_15-15-15,130.6,24.6,910.3,69.1,445.0,Medium,0.555
Wheat,2.34,84.6,23.1,19.9,5.91,Urea,153.1,24.0,936.3,75.7,1096.9,Medium,0.0
Soybeans,2.52,115.7,24.3,61.2,5.94,None,0.0,23.8,666.4,74.6,-0.8,High,1.001
Soybeans,2.3,80.9,43.9,61.9,6.13,None,0.0,26.2,1004.6,61.9,-61.0,High,1.061
Wheat,2.14,65.3,54.5,60.5,5.96,Ammonium Nitrate,216.2,17.2,411.0,55.3,852.9,Medium,0.147
Vegetables,1.24,52.1,39.2,52.5,6.55,Organic,178.1,25.6,617.1,73.9,92.3,High,0.908
Corn,3.36,81.2,45.3,69.3,6.65,Urea,324.8,21.2,1115.4,72.7,2248.6,Low,0.0
Corn,3.65,14.0,44.1,66.3,5.76,Organic,417.1,24.5,235.8,67.6,340.0,High,0.66
Rice,0.85,70.4,56.3,64.5,7.29,Urea,169.4,28.5,1166.1,85.9,2825.0,Low,0.0
Corn,1.38,69.9,5.8,73.3,5.71,Ammonium Nitrate,430.3,17.1,200.0,64.7,1529.1,Low,0.0
Wheat,1.98,40.9,45.0,56.4,5.27,NPK_15-15-15,185.0,22.0,244.0,61.9,401.2,Medium,0.599
Vegetables,1.43,51.8,49.8,55.3,6.67,Ammonium Nitrate,327.7,22.9,675.4,60.2,1341.9,Low,0.0
Corn,2.6,95.2,14.9,92.6,5.83,Urea,247.3,20.8,950.4,46.3,1303.4,Low,0.0
Corn,1.62,80.8,21.7,76.2,6.62,NPK_15-15-15,474.4,28.2,1313.8,72.9,1584.1,Low,0.0
Wheat,3.93,77.5,22.2,81.5,4.72,NPK_15-15-15,225.0,19.8,870.2,63.7,611.8,Medium,0.388
Vegetables,3.15,82.7,24.1,89.5,7.37,NPK_15-15-15,105.1,20.6,763.7,71.1,449.7,Medium,0.55
Rice,2.37,77.3,27.8,75.5,6.87,Urea,325.3,19.8,1052.9,87.1,3105.9,Low,0.0
Wheat,3.02,106.1,38.6,83.6,5.35,Urea,276.8,29.2,545.2,60.3,1583.1,Low,0.0
Corn,3.08,78.1,48.0,33.4,5.36,Urea,336.6,20.9,898.8,36.9,1647.9,Low,0.0
Corn,1.75,38.5,51.2,69.1,7.57,Ammonium Nitrate,361.2,25.9,430.2,70.8,1609.4,Low,0.0
Vegetables,1.55,115.8,22.4,61.3,5.88,NPK_15-15-15,318.4,33.8,878.9,67.0,1058.5,Medium,0.0
Vegetables,2.26,84.3,22.3,98.6,5.82,NPK_15-15-15,275.0,23.1,804.6,56.2,653.3,Medium,0.347
Corn,2.89,60.3,54.7,83.6,4.81,Ammonium Nitrate,215.1,29.3,568.5,69.8,1290.6,Low,0.0
Vegetables,2.31,43.7,44.7,52.4,6.15,NPK_15-15-15,237.7,32.2,907.8,74.4,813.4,Medium,0.187
Wheat,0.94,84.9,36.2,72.5,6.24,NPK_15-15-15,276.2,28.8,905.5,53.6,516.9,Medium,0.483
Vegetables,1.56,72.1,42.1,68.4,6.9,Ammonium Nitrate,120.4,23.4,1261.4,61.4,798.2,Medium,0.202
Wheat,2.14,114.4,34.6,74.1,5.42,Urea,297.3,26.8,288.0,82.7,1386.3,Low,0.0
Wheat,2.14,66.4,42.9,44.6,5.34,Urea,234.6,16.8,823.4,56.3,1050.8,Medium,0.0
Wheat,3.78,54.1,30.0,72.2,6.72,Ammonium Nitrate,229.3,19.4,583.9,65.8,944.2,Medium,0.056
Wheat,1.09,97.4,39.0,60.4,7.1,Urea,145.3,20.4,1154.4,33.5,610.3,Medium,0.39
Corn,2.6,98.1,12.3,70.6,5.3,Urea,208.8,35.2,1113.9,47.2,1894.0,Low,0.0
Corn,3.39,79.2,24.7,50.5,7.16,Urea,206.5,19.3,1027.8,66.9,1326.6,Low,0.0
Rice,4.02,91.9,24.8,53.3,6.43,Ammonium Nitrate,269.3,19.2,603.7,79.7,2278.9,Low,0.0
Soybeans,1.88,74.1,29.4,88.5,7.16,NPK_15-15-15,37.9,18.1,1159.9,48.7,-125.0,High,1.125
Corn,2.59,80.8,21.1,44.0,6.35,Urea,303.5,26.4,314.5,65.9,1379.3,Low,0.0
Wheat,2.66,104.1,27.0,45.4,4.63,Urea,239.6,24.2,242.6,60.5,1065.0,Medium,0.0
Vegetables,2.36,90.6,12.3,64.0,6.29,Ammonium Nitrate,337.1,29.2,403.4,76.4,1614.1,Low,0.0
Corn,2.12,70.8,43.2,49.6,7.14,Urea,463.0,27.0,838.3,50.4,2674.8,Low,0.0
Wheat,2.55,108.8,33.8,47.3,5.77,NPK_15-15-15,236.1,16.3,1086.3,70.2,470.1,Medium,0.53
Rice,0.5,15.9,9.4,67.1,6.13,Organic,191.8,19.3,200.0,57.2,1212.5,Low,0.0
Vegetables,2.75,126.3,22.5,34.9,6.28,Ammonium Nitrate,163.0,30.6,1313.0,67.7,1528.2,Low,0.0
Corn,2.3,32.4,40.0,44.8,4.5,Urea,273.3,22.4,895.9,65.8,1691.5,Low,0.0
Wheat,2.02,59.3,26.9,106.1,7.57,Ammonium Nitrate,105.6,29.7,301.3,62.0,510.8,Medium,0.489
Soybeans,3.84,74.0,24.5,74.2,5.77,Organic,29.6,22.7,885.3,70.7,20.6,High,0.979
Vegetables,1.66,71.3,33.9,50.1,6.75,NPK_15-15-15,346.3,18.5,1232.4,65.5,691.2,Medium,0.309
Wheat,1.88,100.2,40.2,73.4,6.34,Ammonium Nitrate,185.1,21.9,1059.8,63.4,866.2,Medium,0.134
Wheat,3.79,48.6,13.5,76.3,7.28,Ammonium Nitrate,257.0,18.5,1234.7,60.7,1387.6,Low,0.0
Wheat,1.53,81.5,43.3,84.9,6.68,Urea,292.0,20.6,371.8,65.9,1072.7,Medium,0.0
Vegetables,1.76,60.5,23.0,62.5,6.24,NPK_15-15-15,178.4,24.5,705.1,67.7,403.9,Medium,0.596
Wheat,2.08,82.4,34.7,84.5,5.77,None,0.0,26.2,526.4,53.1,164.8,High,0.835
Corn,2.87,73.4,34.5,24.2,6.96,Organic,372.6,15.2,1451.2,60.8,238.5,High,0.762
Vegetables,2.37,77.3,27.1,43.9,5.09,Urea,287.1,23.4,1073.8,52.3,1736.8,Low,0.0
Wheat,1.17,61.3,19.6,68.3,6.85,Urea,177.7,20.4,1846.5,64.5,1373.0,Low,0.0
Wheat,1.77,62.2,30.7,71.6,5.63,Urea,204.7,20.1,686.3,57.9,1068.6,Medium,0.0
Corn,1.71,82.2,59.4,46.8,7.28,Ammonium Nitrate,261.9,24.2,596.4,74.2,1268.7,Low,0.0
Wheat,2.14,98.6,14.6,70.2,6.51,Organic,138.9,20.6,800.0,73.1,175.9,High,0.824
Rice,2.54,60.0,60.4,52.5,6.85,Urea,343.3,30.7,1332.4,53.9,4127.7,Low,0.0
Wheat,2.53,53.3,31.1,59.5,6.46,NPK_15-15-15,290.6,29.7,721.9,65.0,648.3,Medium,0.352
Corn,0.78,90.3,35.5,85.5,5.17,NPK_15-15-15,239.9,29.6,893.6,72.7,737.7,Medium,0.262
Wheat,3.05,74.2,18.7,83.2,5.8,None,0.0,20.9,883.8,62.9,250.4,High,0.75
Vegetables,2.4,95.8,23.4,45.1,6.87,Organic,140.8,18.5,863.8,56.3,123.4,High,0.877
Corn,3.31,52.4,27.5,43.9,6.52,Ammonium Nitrate,346.7,23.9,621.7,51.9,1659.5,Low,0.0
Vegetables,2.56,30.5,19.3,56.8,7.23,NPK_15-15-15,346.1,22.7,801.9,75.3,765.5,Medium,0.234
Rice,3.08,61.7,31.9,64.5,6.68,Urea,338.2,20.3,787.0,75.8,2943.0,Low,0.0
Vegetables,2.57,55.8,28.9,51.8,5.72,Ammonium Nitrate,231.8,17.4,847.4,62.5,1086.6,Medium,0.0
Soybeans,3.28,73.0,62.8,85.8,5.84,None,0.0,23.3,1180.2,74.2,82.8,High,0.917
Wheat,2.62,59.1,17.5,71.9,6.47,Urea,178.7,21.4,1466.2,30.0,996.8,Medium,0.003
Soybeans,2.12,93.5,36.5,73.1,4.78,None,0.0,27.1,555.8,80.9,174.0,High,0.826
Vegetables,4.02,67.8,38.7,39.7,7.57,Organic,243.2,27.0,712.8,63.1,240.3,High,0.76
Rice,2.91,78.8,18.9,88.3,6.71,Urea,277.6,29.2,561.2,66.7,2641.9,Low,0.0
Rice,2.66,78.9,45.3,10.0,7.26,NPK_15-15-15,396.2,17.0,915.5,61.2,1744.4,Low,0.0
Wheat,1.18,79.9,29.0,81.7,5.29,Urea,232.4,25.6,661.6,81.7,1395.0,Low,0.0
Soybeans,1.17,74.4,5.0,83.7,7.27,Ammonium Nitrate,2.8,19.7,933.9,52.3,-273.4,High,1.273
Soybeans,2.43,87.8,44.9,56.4,7.96,Organic,26.9,17.2,1236.3,82.7,-7.9,High,1.008
Soybeans,2.32,55.1,18.2,90.5,5.48,Ammonium Nitrate,87.6,21.3,200.0,69.8,362.7,High,0.637
Rice,1.71,110.0,19.3,63.7,6.94,Ammonium Nitrate,388.9,29.1,1022.1,72.5,3721.0,Low,0.0
Soybeans,2.31,69.1,45.3,66.2,6.4,Organic,87.6,21.6,688.9,61.0,-136.0,High,1.136
Corn,3.47,42.2,29.8,71.8,5.32,Urea,259.0,31.6,1011.1,49.3,2170.6,Low,0.0
Wheat,2.76,79.7,48.8,128.7,6.75,Ammonium Nitrate,140.0,26.4,536.2,76.2,758.6,Medium,0.241
Corn,1.29,53.7,53.2,91.9,6.98,NPK_15-15-15,336.9,21.5,1268.7,68.7,808.6,Medium,0.191
Rice,2.11,91.6,25.3,79.0,5.98,Urea,337.6,29.5,1169.6,81.3,4558.8,Low,0.0
Rice,1.56,130.2,46.9,46.7,7.22,Organic,174.6,25.8,1048.9,62.7,1262.7,Low,0.0
Rice,1.89,55.3,23.7,67.9,5.23,Urea,403.2,18.7,1127.6,60.0,3167.1,Low,0.0
Wheat,1.87,83.3,68.5,48.7,5.35,Urea,107.9,33.2,589.0,81.7,935.6,Medium,0.064
Rice,1.82,31.1,24.6,81.4,6.5,Urea,290.0,24.8,633.1,87.9,2776.4,Low,0.0
Rice,1.2,86.3,50.4,67.8,6.42,Ammonium Nitrate,302.2,23.6,1113.4,65.1,2709.7,Low,0.0
Corn,2.1,52.9,47.7,42.5,5.9,Organic,410.6,19.1,581.3,56.0,299.5,High,0.7
Rice,1.75,59.4,39.7,66.6,6.97,None,0.0,29.6,1356.0,74.7,1217.6,Low,0.0
Corn,0.5,47.5,24.9,48.0,6.77,Urea,205.3,26.2,736.7,62.0,1072.4,Medium,0.0
Corn,3.84,93.3,32.7,68.0,7.0,None,0.0,26.8,1025.7,72.2,330.7,High,0.669
Wheat,3.07,100.2,5.0,47.8,6.31,Urea,255.2,20.9,1584.7,61.9,1889.9,Low,0.0
Wheat,1.9,75.6,38.4,65.5,6.82,Urea,252.2,27.8,602.8,83.8,1635.1,Low,0.0
Wheat,2.22,53.4,40.2,80.0,6.09,Organic,177.9,28.2,874.1,56.6,65.2,High,0.935
Wheat,1.26,114.7,37.0,63.9,7.84,Urea,145.3,20.0,1219.0,70.8,936.2,Medium,0.064
Rice,3.56,56.2,5.0,57.2,5.83,Ammonium Nitrate,201.3,16.1,1182.9,59.1,2060.8,Low,0.0
Vegetables,3.72,20.9,16.0,69.1,7.87,NPK_15-15-15,192.1,26.5,735.3,61.6,523.1,Medium,0.477
Wheat,2.33,86.5,23.8,78.9,6.42,Urea,192.3,15.3,669.1,60.1,838.9,Medium,0.161
Wheat,3.02,47.4,39.4,42.9,5.44,Ammonium Nitrate,128.4,24.3,768.4,73.9,828.5,Medium,0.172
Corn,2.34,99.7,39.3,70.2,7.36,Ammonium Nitrate,444.9,21.2,1356.8,76.0,2819.2,Low,0.0
Rice,1.13,65.5,32.4,91.4,6.49,Urea,204.1,29.8,752.3,71.7,2592.8,Low,0.0
Rice,1.87,90.1,44.5,76.5,7.0,NPK_15-15-15,205.1,21.5,877.3,63.7,1554.2,Low,0.0
Rice,2.31,110.0,19.6,66.2,7.26,Urea,335.8,29.3,700.6,66.7,3235.0,Low,0.0
Wheat,1.84,44.8,44.2,77.8,6.64,Urea,134.4,20.8,1096.9,75.8,829.6,Medium,0.17
Wheat,2.03,60.9,42.1,74.0,5.99,None,0.0,28.7,904.4,76.2,155.2,High,0.845
Wheat,2.13,73.1,40.7,80.1,7.08,Urea,280.7,34.2,498.8,32.7,1390.6,Low,0.0
Soybeans,2.14,113.4,32.3,24.5,6.4,NPK_15-15-15,98.3,17.9,510.9,61.7,-37.8,High,1.038
Soybeans,2.24,58.5,62.5,33.9,6.88,Organic,9.4,25.0,200.0,62.3,-24.3,High,1.024
Soybeans,1.35,60.1,42.4,85.1,4.89,None,0.0,37.8,559.0,73.0,78.5,High,0.922
Vegetables,1.63,87.0,20.5,34.9,6.71,Organic,140.8,23.8,1127.9,64.2,72.4,High,0.928
Corn,1.17,60.6,38.7,73.0,5.95,Ammonium Nitrate,313.5,23.8,1313.3,73.6,2050.1,Low,0.0
Corn,2.98,78.8,46.3,58.0,7.56,NPK_15-15-15,394.2,27.6,1089.9,52.1,1045.0,Medium,0.0
Corn,0.52,36.2,26.2,45.1,6.84,Urea,233.6,23.7,1044.1,68.1,1364.8,Low,0.0
